s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Interest-fed $ billion nominal,,Interest-xfer $ billion nominal,,Interest-state $ billion nominal,,Interest-local $ billion nominal
2012,15547.4,314.123,220.41,a,0,,48.26,g,63.87,g
2013,16202.7,316.847,222.75,b,0,,49.68,g,64.94,g
2014,17011.4,319.594,222.89,b,0,,51.31,g,66.16,g
2015,17936.1,322.366,253.56,b,0,,53.35,g,67.99,g
2016,18934.2,325.01,300.11,b,0,,55.91,g,70.73,g
2017,19980,327.676,373.41,b,0,,59.03,g,74.46,g
2018,21024.8,330.363,461.49,b,0,,62.61,g,79.06,g
Legend:,,,,,,,,,,
 a - actual reported,,,,,,,,,,
 i - interpolated between actual reported values,,,,,,,,,,
 e - estimated by usgovernmentspending.com,,,,,,,,,,
 g - 'guesstimated' projection by usgovernmentspending.com,,,,,,,,,,
 b - budgeted estimate in US FY14 budget,,,,,,,,,,
