s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Total Spending-fed $ billion nominal,,Remaining Spending-xfer $ billion nominal,,Total Spending-state $ billion nominal,,Total Spending-local $ billion nominal
1839,1.645,16.594,0.03,a,0,,0,,0
1840,1.559,17.07,0.03,a,0,,0,,0
1841,1.636,17.601,0.03,a,0,,0,,0
1842,1.602,18.149,0.03,a,0,,0,,0
1843,1.553,18.714,0.02,a,0,,0,,0
1844,1.686,19.296,0.03,a,0,,0,,0
1845,1.842,19.897,0.03,a,0,,0,,0
1846,2.045,20.516,0.03,a,0,,0,,0
1847,2.387,21.154,0.06,a,0,,0,,0
1848,2.404,21.813,0.05,a,0,,0,,0
1849,2.395,22.492,0.05,a,0,,0,,0
1850,2.556,23.192,0.04,a,0,,0,,0
1851,2.698,23.909,0.05,a,0,,0,,0
1852,3.037,24.648,0.05,a,0,,0,,0
1853,3.279,25.409,0.06,a,0,,0,,0
1854,3.677,26.195,0.07,a,0,,0,,0
1855,3.937,27.004,0.07,a,0,,0,,0
1856,4.009,27.839,0.08,a,0,,0,,0
1857,4.14,28.699,0.08,a,0,,0,,0
1858,4.054,29.586,0.09,a,0,,0,,0
1859,4.383,30.501,0.08,a,0,,0,,0
1860,4.345,31.443,0.08,a,0,,0,,0
1861,4.599,32.091,0.08,a,0,,0,,0
1862,5.788,32.753,0.49,a,0,,0,,0
1863,7.625,33.428,0.73,a,0,,0,,0
1864,9.457,34.117,0.88,a,0,,0,,0
1865,9.881,34.82,1.31,a,0,,0,,0
1866,8.995,35.537,0.54,a,0,,0,,0
1867,8.344,36.27,0.38,a,0,,0,,0
1868,8.146,37.017,0.4,a,0,,0,,0
1869,7.845,37.78,0.35,a,0,,0,,0
1870,7.737,38.558,0.33,a,0,,0,,0
1871,7.592,39.588,0.32,a,0,,0,,0
1872,8.23,40.646,0.3,a,0,,0,,0
1873,8.753,41.732,0.32,a,0,,0,,0
1874,8.482,42.847,0.33,a,0,,0,,0
1875,8.16,43.991,0.31,a,0,,0,,0
1876,8.308,45.166,0.3,a,0,,0,,0
1877,8.521,46.373,0.27,a,0,,0,,0
1878,8.379,47.612,0.27,a,0,,0,,0
1879,9.359,48.883,0.3,a,0,,0,,0
1880,10.362,50.189,0.3,a,0,,0,,0
1881,11.628,51.342,0.3,a,0,,0,,0
1882,12.214,52.521,0.3,a,0,,0,,0
1883,12.316,53.726,0.31,a,0,,0,,0
1884,11.782,54.96,0.29,a,0,,0,,0
1885,11.593,56.222,0.31,a,0,,0,,0
1886,12.18,57.513,0.29,a,0,,0,,0,
1887,13.146,58.833,0.32,a,0,,0,,0,
1888,13.866,60.184,0.32,a,0,,0,,0,
1889,13.853,61.566,0.36,a,0,,0,,0,
1890,15.077,62.98,0.38,a,0,,0.07,a,0.49,a
1891,15.409,64.192,0.44,a,0,,0.08,i,0.52,i
1892,16.356,65.428,0.42,a,0,,0.08,i,0.55,i
1893,15.417,66.688,0.47,a,0,,0.08,i,0.58,i
1894,14.143,67.972,0.45,a,0,,0.09,i,0.61,i
1895,15.603,69.281,0.44,a,0,,0.09,i,0.65,i
1896,15.493,70.615,0.44,a,0,,0.1,i,0.68,i
1897,16.153,71.974,0.46,a,0,,0.1,i,0.72,i
1898,18.088,73.36,0.54,a,0,,0.11,i,0.77,i
1899,19.506,74.773,0.71,a,0,,0.12,i,0.81,i
1900,20.567,76.212,0.63,a,0,,0.12,i,0.86,i
1901,22.269,77.68,0.64,a,0,,0.13,i,0.91,i
1902,24.062,79.176,0.57,a,-0.01,a,0.14,a,0.96,a
1903,25.93,80.701,0.6,i,-0.01,i,0.15,i,1.02,i
1904,25.681,82.255,0.63,i,-0.01,i,0.16,i,1.09,i
1905,28.788,83.839,0.66,i,-0.01,i,0.17,i,1.17,i
1906,31.037,85.453,0.69,i,-0.01,i,0.18,i,1.24,i
1907,33.851,87.099,0.73,i,-0.01,i,0.19,i,1.33,i
1908,30.133,88.776,0.76,i,-0.01,i,0.21,i,1.42,i
1909,32.229,90.486,0.8,i,-0.01,i,0.22,i,1.51,i
1910,33.423,92.229,0.84,i,-0.01,i,0.24,i,1.61,i
1911,34.343,93.523,0.88,i,-0.01,i,0.26,i,1.72,i
1912,37.384,94.836,0.93,i,-0.01,i,0.28,i,1.84,i
1913,39.14,96.167,0.97,a,-0.01,a,0.3,a,1.96,a
1914,36.479,97.516,1.01,i,-0.02,i,0.34,i,2.15,i
1915,38.675,98.885,1.05,i,-0.02,i,0.4,i,2.37,i
1916,49.638,100.273,1.04,i,-0.02,i,0.46,i,2.6,i
1917,59.702,101.68,2.31,i,-0.02,i,0.53,i,2.86,i
1918,75.835,103.107,13.04,i,-0.03,i,0.61,i,3.14,i
1919,78.333,104.554,18.85,i,-0.04,i,0.7,i,3.45,i
1920,88.393,106.022,6.79,i,-0.06,i,0.81,i,3.78,i
1921,73.603,107.626,5.51,i,-0.08,i,0.94,i,4.16,i
1922,73.432,109.254,3.76,a,-0.12,a,1.09,a,4.57,a
1923,85.414,110.908,3.72,i,-0.12,i,1.15,i,4.88,i
1924,86.947,112.586,3.67,i,-0.12,i,1.22,i,5.21,i
1925,90.575,114.29,3.62,i,-0.12,i,1.29,i,5.57,i
1926,96.949,116.019,3.58,i,-0.12,i,1.37,i,5.95,i
1927,95.544,117.775,3.53,a,-0.12,a,1.45,a,6.36,a
1928,97.365,119.557,3.67,i,-0.14,i,1.55,i,6.36,i
1929,103.6,121.366,3.81,i,-0.16,i,1.66,i,6.37,i
1930,91.2,123.203,3.96,i,-0.18,i,1.77,i,6.37,i
1931,76.5,124.071,4.11,i,-0.2,i,1.9,i,6.37,i
1932,58.7,124.945,4.27,a,-0.23,a,2.03,a,6.38,a
1933,56.4,125.825,5.1,i,-0.6,i,2.09,i,6.04,i
1934,66,126.712,5.94,a,-0.98,a,2.14,a,5.7,a
1935,73.3,127.605,7.55,i,-0.94,i,2.29,i,5.88,i
1936,83.8,128.504,9.17,a,-0.91,a,2.45,a,6.06,a
1937,91.9,129.41,8.81,i,-0.84,i,2.76,i,6.48,i
1938,86.1,130.321,8.45,a,-0.76,a,3.08,a,6.91,a
1939,92.2,131.24,9.26,i,-0.82,i,3.32,i,7.3,i
1940,101.4,132.165,10.06,a,-0.88,a,3.56,a,7.69,a
1941,126.7,133.966,14.16,i,-0.89,i,3.56,i,7.52,i
1942,161.9,135.792,35.55,a,-0.89,a,3.56,a,7.35,a
1943,198.6,137.643,82.98,i,-0.98,i,3.44,i,7.27,i
1944,219.8,139.519,100.52,a,-1.07,a,3.32,a,7.18,a
1945,223,141.421,106.88,i,-0.98,i,4.15,i,8.14,i
1946,222.2,143.349,66.53,a,-0.89,a,4.97,a,9.09,a
1947,244.1,145.303,41.4,i,-1.33,i,6.44,i,11.23,i
1948,269.1,147.283,35.59,a,-1.77,a,7.9,a,13.36,a
1949,267.2,149.291,40.2,i,-2.07,i,9.38,i,15.2,i
1950,293.7,151.326,44.8,a,-2.37,a,10.86,a,17.04,a
1951,339.3,153.917,48.94,a,-2.38,a,10.83,i,18.56,i
1952,358.3,156.552,71.57,a,-2.53,a,10.79,a,20.07,a
1953,379.3,159.232,79.99,a,-2.87,a,11.47,a,21.47,a
1954,380.4,161.958,77.69,a,-2.97,a,13.01,a,23.6,a
1955,414.7,164.731,73.44,a,-3.1,a,14.37,a,26,a
1956,437.4,167.551,75.99,a,-3.35,a,15.15,a,28,a
1957,461.1,170.42,81.78,a,-3.87,a,16.8,a,30.76,a
1958,467.2,173.337,86.05,a,-5.04,a,19.99,a,33.72,a
1959,506.6,176.305,93.53,a,-6.35,a,22.44,a,36.14,a
1960,526.4,179.323,97.28,a,-7,a,22.15,a,38.85,a
1961,544.8,181.588,104.86,a,-7.06,a,24.58,a,42.45,a
1962,585.7,183.881,106.82,a,-7.77,i,25.5,a,45.05,a
1963,617.8,186.204,111.32,a,-8.5,i,27.7,a,47,a
1964,663.6,188.555,118.53,a,-9.79,i,29.62,a,50.96,a
1965,719.1,190.937,118.23,a,-10.76,i,31.47,a,55.22,a
